uniprot_id,features
O00299,0.084299 0.103730 0.128238 -0.136292 -0.049429 0.016395 0.084960 0.132728 -0.040209 0.054596 0.095163 -0.002521 -0.096451 0.092851 0.076628 0.138178 0.014032 0.106576 0.045610 -0.142983 0.130190 -0.078698 0.115238 -0.135841 -0.011999 0.119583 0.225900 0.068205 -0.122132 0.155929 0.120457 -0.080986 0.120504 0.110465 0.139419 0.135310 -0.160522 -0.116237 0.113945 -0.137633 -0.118685 0.126830 -0.035545 0.191166 0.014432 0.127462 0.176701 -0.149252 0.038256 0.159086 0.186647 -0.142975 0.314505 -0.022798 0.044222 0.052640 0.112423 0.119039 -0.036239 -0.118225 0.223992 0.154213 0.189745 -0.010714
O00303,-0.548158 -0.856664 -0.155996 0.254213 -0.461425 0.891346 -0.540147 -0.178062 0.542832 -0.730765 -0.265641 -0.659036 0.890736 -0.202449 -0.221960 -0.189850 -0.723841 -0.314764 -0.624824 0.286952 -0.257596 0.319873 -0.589647 0.267358 -0.357598 -0.241106 -0.781934 -0.700912 0.657193 -0.642435 -0.257700 0.546505 -0.197977 -0.206918 -0.758948 1.059688 0.196232 0.235180 -0.142999 0.267808 0.259138 -0.182032 0.289752 -0.895689 -0.947884 -0.270460 -0.189813 0.265465 -0.884266 -0.217126 -0.891308 0.244961 -0.820193 0.405283 0.618294 0.251310 -0.237436 -0.219884 -0.484261 0.215269 -0.880739 -0.257560 -0.731394 -0.793052
O00305,-0.371622 -0.155728 0.259214 -0.280520 -0.386619 0.225667 -0.397542 0.266425 0.444243 -0.367987 0.274482 -0.220512 0.349577 0.288757 0.293020 0.268856 -0.319292 0.293117 0.050542 -0.264141 0.273448 -0.259594 -0.335077 -0.302542 -0.461148 0.282338 -0.126523 0.074048 0.438291 -0.415426 0.293263 0.352100 0.280235 0.321045 0.079807 0.316194 -0.275346 -0.293886 0.296799 -0.305586 -0.289428 0.296645 0.433483 -0.310078 -0.374877 0.299561 0.265562 -0.298781 -0.284220 0.282216 -0.155141 -0.281039 -0.169360 0.453005 0.413277 0.430467 0.251727 0.298331 -0.409846 -0.281294 -0.220730 0.264974 -0.183168 -0.348372
O00329,-0.239965 -0.003583 0.314753 -0.337196 -0.338018 0.094691 -0.347364 0.316646 0.353597 -0.273067 0.325466 -0.137384 0.217681 0.328956 0.336326 0.313133 -0.207720 0.332664 0.159922 -0.310417 0.308810 -0.349984 -0.208368 -0.339640 -0.387701 0.308069 -0.074666 0.153924 0.319139 -0.307791 0.327908 0.247740 0.303212 0.336983 0.140103 0.130298 -0.343562 -0.327953 0.341485 -0.337373 -0.331509 0.327747 0.352059 -0.201385 -0.247699 0.323770 0.295435 -0.340533 -0.208113 0.311160 -0.036316 -0.333196 -0.052834 0.345370 0.316473 0.309451 0.313139 0.332261 -0.329616 -0.349102 -0.079670 0.331702 -0.131485 -0.241502
O00338,0.066315 0.337136 0.387510 -0.497689 -0.165517 -0.539796 -0.035201 0.405378 -0.105588 0.051585 0.377559 0.113355 -0.323308 0.364503 0.398951 0.408559 0.208340 0.424219 0.416574 -0.466316 0.399429 -0.493860 0.173224 -0.437243 -0.086736 0.387019 0.360330 0.433496 -0.108402 -0.017141 0.392177 -0.362925 0.369453 0.402145 0.419017 -0.369917 -0.470136 -0.424693 0.395021 -0.442813 -0.471007 0.400916 0.118361 0.240365 0.312638 0.395206 0.384276 -0.442499 0.038122 0.377539 0.378281 -0.531685 0.332672 -0.040986 -0.097004 -0.092176 0.415903 0.408338 -0.086825 -0.501830 0.152291 0.416648 0.167435 0.088595
O00341,-0.491517 -0.256742 0.259831 -0.269003 -0.461627 0.394119 -0.491527 0.258614 0.546522 -0.453949 0.251306 -0.343935 0.442633 0.287401 0.278840 0.264133 -0.426741 0.278505 0.028535 -0.232114 0.266779 -0.229301 -0.436976 -0.294704 -0.543164 0.280728 -0.203668 0.026667 0.546002 -0.512823 0.279836 0.431279 0.267690 0.312948 0.023256 0.496418 -0.259084 -0.294056 0.294518 -0.289897 -0.274581 0.288439 0.513630 -0.454941 -0.538370 0.297820 0.268928 -0.285046 -0.426564 0.275608 -0.262033 -0.246030 -0.269330 0.530620 0.509319 0.519074 0.241283 0.291015 -0.503338 -0.260650 -0.320639 0.250878 -0.314836 -0.459474
O00444,0.079821 0.278971 0.349101 -0.443915 -0.207844 -0.323508 -0.140956 0.373655 -0.059745 -0.003795 0.352336 0.067945 -0.164461 0.342636 0.363092 0.361902 0.118759 0.386488 0.299481 -0.405417 0.377003 -0.455741 0.163215 -0.397327 -0.102518 0.353145 0.152357 0.345286 -0.079266 -0.077400 0.356859 -0.178321 0.346074 0.350460 0.331813 -0.291988 -0.426332 -0.378893 0.388482 -0.426681 -0.414346 0.369118 0.108673 0.096867 0.215974 0.373115 0.354705 -0.398680 0.065267 0.339435 0.231102 -0.469016 0.219392 -0.000794 -0.030068 0.027600 0.360209 0.373989 -0.091818 -0.449106 0.174773 0.374872 0.051577 -0.008864
O00469,-0.196519 -0.059321 0.241719 -0.180239 -0.307744 0.296943 -0.257312 0.226640 0.552138 -0.208317 0.216599 -0.101957 0.422613 0.220962 0.226279 0.247382 -0.290372 0.248477 0.110660 -0.168671 0.218329 -0.124776 -0.171498 -0.212880 -0.400699 0.230372 0.099131 0.180695 0.494535 -0.198752 0.216018 0.273304 0.251217 0.250159 0.228539 0.463937 -0.208998 -0.212530 0.291268 -0.175494 -0.187340 0.239902 0.419104 -0.302346 -0.357704 0.236862 0.237098 -0.209576 -0.290151 0.247609 0.008827 -0.163931 -0.058771 0.431600 0.370659 0.332367 0.220766 0.249397 -0.214846 -0.175689 0.002972 0.238721 -0.083227 -0.169691
O00519,-0.506701 -0.280454 0.266450 -0.277009 -0.478163 0.393725 -0.511413 0.267116 0.522540 -0.437632 0.261761 -0.352750 0.441154 0.292373 0.288002 0.272664 -0.450249 0.286165 0.016585 -0.244715 0.271304 -0.238832 -0.433858 -0.305482 -0.550633 0.284150 -0.239047 0.019262 0.525643 -0.511999 0.287387 0.416476 0.273157 0.323282 0.012972 0.473995 -0.273592 -0.300317 0.295533 -0.297984 -0.275649 0.291812 0.515731 -0.430072 -0.523957 0.307568 0.267587 -0.290523 -0.406614 0.280776 -0.224344 -0.251132 -0.284459 0.539447 0.500221 0.545247 0.249198 0.290419 -0.508544 -0.269551 -0.319672 0.260582 -0.322007 -0.456496
O00555,-0.079447 0.433673 0.089484 0.080997 0.053972 0.232276 0.059640 0.095568 0.455382 -0.125868 0.220177 0.653050 0.368385 0.169461 0.203787 0.083192 0.179873 0.074319 0.107093 -0.154192 0.095636 -0.020512 0.323313 -0.007532 -0.135975 0.126679 0.278185 -0.060966 0.307152 0.311922 0.189688 0.562569 0.158420 0.190099 0.064878 0.046227 -0.014946 -0.030259 0.035692 -0.061578 -0.051926 0.132135 0.267244 0.500721 0.067771 0.093036 0.027191 -0.089138 0.168899 0.165776 0.065112 -0.043465 0.337651 0.405673 0.415346 0.361809 0.142230 0.063688 0.198008 0.003658 0.316637 0.071361 0.606213 -0.217534
O00750,0.174605 0.250521 0.140953 -0.138508 0.032702 -0.237623 0.012051 0.142663 0.121770 0.050939 0.179610 0.272979 -0.043618 0.164100 0.185021 0.108784 0.284826 0.217316 0.234316 -0.159933 0.165071 -0.259184 0.183527 -0.140422 -0.105569 0.127512 0.128783 0.259210 0.072256 0.089815 0.168909 -0.072245 0.136105 0.152832 0.261758 -0.301558 -0.141486 -0.135610 0.216682 -0.128483 -0.194593 0.126794 0.042141 0.060691 0.236754 0.142572 0.106226 -0.176978 0.079370 0.116193 0.219248 -0.166798 0.151740 -0.014775 -0.152358 -0.100287 0.161145 0.156969 0.079844 -0.163938 0.237666 0.181691 0.094801 0.169651
O00763,-0.143924 0.065458 0.348499 -0.427977 -0.299619 -0.143879 -0.283210 0.359166 0.135134 -0.165957 0.342010 -0.113321 0.010248 0.340215 0.351503 0.363132 -0.101143 0.371997 0.217536 -0.379330 0.350936 -0.410935 -0.085202 -0.405152 -0.293109 0.351442 0.067697 0.201012 0.103566 -0.230500 0.356726 -0.001488 0.338272 0.369356 0.204738 0.005506 -0.413364 -0.383799 0.380250 -0.405780 -0.402469 0.372488 0.257053 -0.086069 -0.080780 0.372191 0.351028 -0.403271 -0.116840 0.350958 0.079357 -0.450201 0.082981 0.185991 0.172881 0.191579 0.356167 0.380556 -0.294783 -0.422244 -0.021189 0.387555 -0.062158 -0.157664
O00764,0.101081 0.150323 0.267290 -0.294528 -0.153672 -0.015927 -0.124444 0.283391 -0.007022 -0.013678 0.185164 -0.074459 -0.213084 0.214114 0.188886 0.297203 -0.085788 0.198038 0.250851 -0.221122 0.236780 -0.205720 0.100593 -0.276604 -0.060904 0.245938 0.216322 0.169525 -0.017522 -0.084281 0.196507 -0.318235 0.249245 0.200481 0.354769 0.178618 -0.292758 -0.240507 0.225238 -0.242352 -0.254096 0.239746 0.067692 0.045384 0.017515 0.224154 0.304925 -0.249432 0.022508 0.311912 0.238247 -0.276604 0.378982 -0.013163 -0.021958 -0.070310 0.263746 0.229788 -0.194069 -0.275036 0.161477 0.254559 0.049019 0.177508
O14520,-0.303277 -0.020228 0.316925 -0.360780 -0.361792 -0.043873 -0.306701 0.316008 0.219250 -0.264682 0.306995 -0.137069 0.097535 0.324247 0.328283 0.320044 -0.134968 0.338200 0.183977 -0.335635 0.322494 -0.335809 -0.200578 -0.342786 -0.363243 0.326522 0.074322 0.190347 0.275980 -0.313900 0.329909 0.070797 0.300399 0.354507 0.175973 0.104683 -0.345499 -0.340917 0.331032 -0.348159 -0.354434 0.334120 0.338257 -0.131663 -0.184344 0.332967 0.306666 -0.339258 -0.240042 0.313340 0.035620 -0.344783 -0.001290 0.304230 0.246841 0.274135 0.316345 0.332922 -0.327629 -0.369484 -0.141814 0.315879 -0.064021 -0.254151
O14556,-0.390427 -0.221510 0.271350 -0.306676 -0.397044 0.280060 -0.446819 0.266265 0.393656 -0.378616 0.255342 -0.329100 0.293196 0.284542 0.274371 0.276173 -0.357410 0.279374 0.059414 -0.248743 0.266430 -0.268860 -0.415204 -0.311227 -0.428252 0.286773 -0.172638 0.036254 0.390742 -0.431642 0.278669 0.265140 0.267985 0.304850 0.006768 0.382886 -0.291943 -0.289524 0.309525 -0.295972 -0.301392 0.294069 0.418723 -0.377734 -0.439147 0.294630 0.273052 -0.301285 -0.320446 0.276354 -0.207717 -0.294203 -0.201394 0.395442 0.366272 0.378017 0.254989 0.294571 -0.447943 -0.296755 -0.299468 0.284957 -0.231565 -0.343356
O14578,-0.240443 -0.116625 0.205463 -0.206694 -0.267200 0.314611 -0.290598 0.195593 0.329096 -0.321697 0.208941 -0.065244 0.142680 0.208869 0.229701 0.187925 -0.184779 0.219947 0.129327 -0.215997 0.251986 -0.231312 -0.126482 -0.223510 -0.368279 0.259343 -0.057791 0.148416 0.355209 -0.333392 0.233931 0.256031 0.220329 0.230487 0.084652 0.352023 -0.194684 -0.226188 0.256532 -0.222150 -0.253855 0.209284 0.311241 -0.310244 -0.225065 0.221143 0.211205 -0.232571 -0.259158 0.196052 -0.125184 -0.210369 -0.125916 0.212404 0.251781 0.161177 0.180657 0.218327 -0.244245 -0.229145 -0.137500 0.186446 -0.146011 -0.287564
O14618,-0.182815 -0.062552 0.288766 -0.307246 -0.315170 0.208546 -0.338073 0.286629 0.278125 -0.211054 0.240970 -0.225187 0.091995 0.260594 0.242874 0.309844 -0.261355 0.237122 0.130307 -0.231630 0.276328 -0.240022 -0.231030 -0.316885 -0.309284 0.274585 0.019622 0.106414 0.292423 -0.340058 0.248881 0.066946 0.275949 0.262255 0.144411 0.341971 -0.308744 -0.302395 0.269909 -0.269756 -0.277318 0.289343 0.270428 -0.240684 -0.236890 0.270942 0.316553 -0.284460 -0.251820 0.304830 0.011287 -0.300047 0.045220 0.229769 0.282420 0.265405 0.270192 0.274996 -0.386360 -0.292870 -0.063089 0.279959 -0.113654 -0.119722
O14649,-0.096358 0.004484 0.173811 -0.181204 -0.111525 -0.081361 -0.170204 0.188205 0.174115 -0.182967 0.200270 -0.010012 0.114845 0.205407 0.203321 0.163295 0.049213 0.184795 0.066668 -0.204568 0.171414 -0.240260 -0.182571 -0.194128 -0.170506 0.188237 -0.022195 0.108203 0.205903 -0.137043 0.215952 0.058089 0.193003 0.222753 0.059762 0.094383 -0.185436 -0.201405 0.202139 -0.195450 -0.210313 0.187991 0.187692 -0.008228 -0.189897 0.190866 0.175982 -0.226571 -0.044988 0.161928 -0.062404 -0.196903 -0.071767 0.172529 0.115682 0.025143 0.156636 0.217663 -0.122816 -0.202710 -0.044275 0.201566 0.093925 -0.206756
O14717,-0.341010 -0.168864 0.273248 -0.292382 -0.387864 0.296228 -0.398223 0.275421 0.376819 -0.337855 0.264546 -0.276966 0.303426 0.280868 0.279987 0.276536 -0.340231 0.278565 0.046904 -0.256744 0.267144 -0.264485 -0.317464 -0.307644 -0.410667 0.277382 -0.149032 0.063770 0.379244 -0.412703 0.280363 0.262429 0.279533 0.310676 0.068450 0.364213 -0.283154 -0.291523 0.295675 -0.306310 -0.291756 0.292508 0.393618 -0.299778 -0.375502 0.300327 0.283574 -0.297203 -0.292526 0.293351 -0.144307 -0.285706 -0.135843 0.420418 0.373066 0.405649 0.259102 0.284697 -0.408688 -0.290329 -0.235321 0.276753 -0.238350 -0.313820
O14730,-0.404872 -0.175507 0.276142 -0.310642 -0.420814 0.325224 -0.458382 0.289286 0.406671 -0.398721 0.266769 -0.310998 0.331036 0.287858 0.277885 0.305000 -0.304685 0.278572 0.114159 -0.250125 0.277063 -0.264032 -0.376197 -0.299435 -0.440092 0.299979 -0.127309 0.075695 0.422454 -0.438092 0.284129 0.363548 0.280168 0.295589 0.045861 0.438425 -0.283247 -0.303573 0.308205 -0.302002 -0.290116 0.287410 0.409319 -0.372252 -0.366279 0.297871 0.299176 -0.303788 -0.283591 0.289293 -0.138370 -0.267150 -0.087197 0.393890 0.426657 0.355500 0.280688 0.285325 -0.439869 -0.294405 -0.195611 0.292901 -0.198751 -0.354642
O14732,0.193342 0.219180 0.333554 -0.328604 -0.060668 -0.075145 -0.093477 0.315258 0.052199 0.149259 0.252249 0.059710 -0.110183 0.267943 0.257161 0.350680 0.175063 0.242436 0.393367 -0.272997 0.266487 -0.222534 0.282418 -0.311639 -0.023453 0.296000 0.363249 0.323416 -0.103471 0.175084 0.237647 -0.242858 0.290617 0.241474 0.357896 0.034455 -0.323792 -0.276246 0.283288 -0.272255 -0.284687 0.277267 0.014345 0.214246 0.109548 0.279092 0.369703 -0.295209 0.126010 0.341844 0.242935 -0.322514 0.426774 -0.012131 -0.054824 -0.074823 0.354939 0.273458 -0.050494 -0.306728 0.340156 0.318381 0.085057 0.297970
O14746,1.069119 0.835609 -0.515662 0.505413 0.827351 -1.569718 1.199149 -0.444793 -0.749207 1.104379 -0.340663 0.838748 -0.716370 -0.437456 -0.414230 -0.445700 1.082696 -0.228474 0.047789 0.359663 -0.325173 0.303623 0.908692 0.493351 0.897192 -0.452278 0.425164 0.396872 -0.628469 1.106337 -0.373708 -0.711156 -0.389740 -0.493336 0.393895 -1.304478 0.500236 0.457007 -0.246326 0.477861 0.391117 -0.506705 -0.943633 0.645757 1.432888 -0.440038 -0.467702 0.457745 1.200987 -0.614585 0.663920 0.502031 0.549482 -1.036651 -1.353437 -0.902720 -0.463787 -0.416996 1.174550 0.443454 0.775876 -0.314642 0.573181 1.223618
O14757,0.245602 0.012415 0.056219 -0.021477 0.041885 -0.190708 0.086364 0.085671 -0.233031 -0.145743 0.032158 -0.208475 0.253286 0.012997 -0.074934 -0.017408 0.225954 0.042672 -0.005439 -0.018053 0.030921 -0.110141 0.055293 0.051787 0.378942 -0.045439 -0.036670 0.097026 -0.146583 0.157228 0.001627 0.090335 0.018663 -0.069313 -0.235499 -0.038024 -0.007638 -0.006267 0.097214 -0.042539 -0.016646 -0.010993 -0.207142 0.208198 0.181483 0.000459 0.074384 0.013221 0.070570 0.010022 0.292794 -0.038592 0.231560 -0.024644 0.057976 0.048648 0.019379 0.071538 0.158767 -0.029714 0.159838 0.063193 0.120975 -0.004412
O14763,-0.318157 -0.062397 0.235524 -0.226518 -0.383841 0.248049 -0.339569 0.239674 0.400103 -0.286048 0.237941 -0.243480 0.391108 0.234521 0.262024 0.249292 -0.224894 0.266495 0.032598 -0.216091 0.239409 -0.235944 -0.339705 -0.228818 -0.339982 0.221720 -0.119243 0.083769 0.440860 -0.386121 0.243991 0.363234 0.244984 0.258824 0.076559 0.310057 -0.215131 -0.250909 0.279122 -0.226367 -0.233200 0.244739 0.390552 -0.334389 -0.235290 0.248702 0.230536 -0.223694 -0.350785 0.240662 -0.148895 -0.227766 -0.194563 0.374256 0.351045 0.408890 0.218269 0.227437 -0.354335 -0.220406 -0.185833 0.242738 -0.257324 -0.286800
O14788,-0.905130 -0.670545 0.098266 -0.021379 -0.726081 1.003673 -0.791986 0.069364 0.901202 -0.816223 0.085993 -0.812608 0.995584 0.104024 0.125826 0.073670 -0.945922 0.102203 -0.384003 -0.008648 0.079772 0.025568 -0.859225 -0.040919 -0.741104 0.094679 -0.622027 -0.384801 0.939025 -0.843338 0.083585 1.076301 0.072838 0.138939 -0.370057 0.943056 -0.037830 -0.085201 0.133730 -0.061788 -0.032256 0.091748 0.719947 -0.878606 -0.861278 0.087117 0.035097 -0.038801 -0.874723 0.079506 -0.767799 0.028633 -0.710352 0.844314 0.769428 0.959377 0.070929 0.057576 -0.789659 -0.019147 -0.846783 0.043537 -0.802610 -0.856258
O14791,-0.290681 -0.040525 0.296125 -0.328755 -0.329528 0.117834 -0.329316 0.294292 0.319143 -0.277293 0.298782 -0.120587 0.192757 0.315036 0.327601 0.299298 -0.191203 0.316568 0.150883 -0.307882 0.305282 -0.303146 -0.168149 -0.334552 -0.386434 0.302971 0.002181 0.115468 0.260309 -0.286990 0.325273 0.181842 0.297279 0.346786 0.164522 0.192909 -0.323308 -0.319513 0.302716 -0.334020 -0.322741 0.320897 0.377050 -0.215568 -0.205678 0.325079 0.288504 -0.318706 -0.216901 0.312533 -0.013832 -0.321643 -0.053485 0.362052 0.320067 0.382332 0.302096 0.309924 -0.367402 -0.334894 -0.116602 0.287380 -0.118192 -0.220382
O14832,0.082036 0.271112 0.380655 -0.464835 -0.176429 -0.349426 -0.071046 0.395247 -0.015189 0.031968 0.376061 0.098362 -0.154435 0.353209 0.382394 0.396366 0.127279 0.408328 0.341316 -0.432312 0.383196 -0.465103 0.096646 -0.416515 -0.099651 0.370147 0.233570 0.370843 -0.056365 -0.036538 0.373979 -0.247696 0.369619 0.387487 0.356388 -0.263855 -0.440452 -0.402059 0.392755 -0.418198 -0.445828 0.389196 0.162655 0.126836 0.206608 0.386054 0.375524 -0.425719 0.022817 0.371791 0.280415 -0.521172 0.224348 0.065072 -0.024802 -0.011123 0.397593 0.394018 -0.148883 -0.467555 0.123921 0.405177 0.122180 0.025063
O14863,-0.151806 0.224205 0.311498 -0.355202 -0.287684 -0.343951 -0.036703 0.340143 0.098608 -0.080974 0.322225 0.076826 -0.126533 0.322727 0.351274 0.334187 0.041644 0.359178 0.350586 -0.358181 0.356885 -0.356309 0.010378 -0.320328 -0.195347 0.338387 0.368506 0.396724 0.159335 -0.198584 0.354199 -0.083124 0.298236 0.358805 0.300175 -0.113296 -0.360221 -0.357879 0.298796 -0.329672 -0.343562 0.323515 0.228146 0.196041 0.188368 0.335984 0.298075 -0.332027 -0.097776 0.305005 0.285238 -0.330287 0.243211 0.153702 0.103927 0.127546 0.343472 0.334411 -0.151024 -0.375491 0.031525 0.313086 0.165670 -0.086599
O14920,-1.277794 -1.806502 -1.242110 1.674537 -0.875044 1.616886 -0.953232 -1.309149 -0.155612 -1.688208 -1.305690 -1.942014 1.982898 -1.239417 -1.216717 -1.504065 -1.543522 -1.305198 -2.459620 1.299671 -1.332228 1.046407 -1.577366 1.613366 -0.185390 -1.390130 -2.132440 -2.167313 0.978101 -0.937673 -1.367951 2.095141 -1.425266 -1.433291 -2.320856 1.483556 1.324486 1.349578 -1.069528 1.444343 1.484170 -1.449715 -0.229658 -2.013573 -0.937247 -1.499537 -1.571253 1.671731 -2.027980 -1.502188 -1.655163 1.834754 -2.623406 -0.013154 0.153088 0.849715 -1.349733 -1.531244 -0.395827 1.368258 -1.861683 -1.320709 -2.462178 -2.013445
