db_id,seq_features
DB07767,"-0.510368,0.976473,-1.312273,-0.945710,-1.341736,-1.228804,0.725782,0.468100,0.080886,-0.172590,0.750773,0.746952,-0.729752,-1.301186,-0.091858,1.332590,0.964097,0.976101,-0.631057,-0.713807,-0.116919,-0.234632,-0.437533,1.212291,0.064362,0.450423,-0.802224,-0.605707,0.918925,0.925341,1.281877,0.792685,-1.094857,-0.324287,1.335969,-1.001272,0.847252,0.442015,1.101621,0.572606,-1.215741,0.227144,-1.315353,1.211803,1.339190,0.310933,1.324701,-0.985294,-0.933408,-0.255909,-0.806876,0.383075,0.206245,-0.986119,-1.297902,-0.468536,-1.073427,-0.614801,0.560143,-1.168169,-0.652306,-1.336355,-1.300454,-0.799492"
DB03560,"-0.518098,1.167137,-1.354345,-0.923659,-1.400924,-1.314905,0.790493,0.352240,0.119675,-0.062378,0.742909,0.751026,-0.842238,-1.320929,-0.305454,1.381837,0.967818,1.079373,-0.666580,-0.803073,-0.227559,-0.360608,-0.445251,1.238575,0.063220,0.530918,-0.748013,-0.771539,0.865582,0.989899,1.308908,0.793005,-1.197333,-0.462595,1.387708,-1.028197,0.895974,0.397897,1.127162,0.484885,-1.332900,0.241157,-1.354572,1.301424,1.390942,0.354693,1.368035,-1.030403,-0.981495,-0.293005,-0.701848,0.408503,0.323489,-0.928131,-1.333790,-0.350532,-1.066722,-0.687216,0.656218,-1.274393,-0.677791,-1.384889,-1.361574,-0.831956"
DB04743,"1.891822,-2.130740,1.418347,2.234411,1.557707,1.696995,1.274060,0.860539,2.285460,0.410058,-2.132932,-2.934399,1.186523,1.929919,0.060404,-1.525151,-0.329862,-2.953473,-0.088523,1.330861,-0.833250,-1.221694,-2.277202,-1.484350,-1.073061,-1.687624,2.064111,1.904755,-1.259930,0.182307,-1.358599,0.980231,1.041434,2.252170,-1.444833,2.377989,-0.490178,-0.033483,-0.430473,-3.595810,2.772331,1.246802,1.404221,-1.049196,-1.533963,0.170616,-1.624445,0.641172,1.265445,0.624142,0.681422,-0.962422,-2.250714,1.640817,1.504071,-1.048352,0.142924,0.584033,-0.322099,0.569379,1.938297,1.506104,1.943093,1.162824"
DB12996,"0.115906,0.059620,-0.887689,-0.230941,-0.824095,-0.472732,0.268883,0.545333,-0.531145,-0.192532,0.459008,0.612152,-0.479391,-0.449443,0.457874,0.895722,0.928525,0.684896,-1.208940,-1.102212,-0.332348,0.797664,-0.196630,0.606196,-0.104333,-0.802797,-0.861289,0.538336,1.002519,0.407919,0.842488,0.643115,-0.595693,-0.462349,0.898038,-0.869401,0.015596,0.545907,0.781622,1.163513,-0.455402,-0.562511,-0.909140,0.338271,0.874432,-0.369981,0.814207,-0.558033,-0.568167,-0.124217,-0.518928,-0.341710,1.056015,-0.591899,-0.831414,-0.595671,-0.730774,-0.035635,-0.316923,-0.614626,-0.240225,-0.901307,-0.974012,-0.502507"
DB00217,"1.695807,-0.531867,0.096197,0.502570,0.119982,0.369966,0.231843,0.721540,2.752330,-0.207005,-0.440866,-0.501629,0.031987,-0.560902,0.041347,-0.142484,0.746473,-1.081170,-0.911891,0.188082,-3.052755,-1.650062,-0.887398,-0.381740,-0.082342,-0.581242,-0.261153,0.602846,-0.361061,-0.249594,-0.255628,-0.753925,1.468552,-1.412670,-0.045908,0.988415,1.560258,-0.772918,-1.172280,-1.106725,0.263266,0.765520,0.152269,-0.981160,-0.085290,0.323459,-0.233590,0.800268,0.806229,1.252412,0.630929,0.347824,-0.160740,0.707143,0.263953,1.139669,0.709866,-0.302947,-0.324881,0.850953,1.095337,0.092006,1.091505,-0.342071"
DB00269,"-0.647833,0.749215,-1.233384,-0.920648,-1.241278,-1.068464,0.606209,0.568208,-0.186716,-0.287854,0.631049,0.736890,-0.635856,-1.240626,0.204394,1.235761,0.876669,0.833701,-0.515622,-0.651199,0.027305,-0.052104,-0.276780,1.172782,0.078217,0.448874,-0.850365,-0.350249,1.003073,0.868495,1.227469,0.635256,-1.022680,-0.217263,1.236396,-0.935238,0.677803,0.495668,1.009354,0.588436,-1.075921,0.140200,-1.244134,1.074131,1.240394,0.257795,1.248493,-0.956780,-0.881477,-0.009163,-0.782628,0.293903,0.048470,-1.035836,-1.248764,-0.569585,-0.953550,-0.454265,0.438878,-0.963719,-0.641380,-1.235348,-1.159211,-0.869089"
DB04786,"-0.494700,1.033742,-1.299498,-0.932180,-1.338693,-1.220701,0.661564,0.244175,0.037618,-0.121298,0.763711,0.757622,-0.790049,-1.295108,-0.165782,1.324189,0.981612,1.036221,-0.552072,-0.771440,-0.143420,-0.224470,-0.373085,1.180937,0.092606,0.496310,-0.779849,-0.731907,0.922337,0.881640,1.255765,0.686137,-1.122911,-0.423151,1.328130,-0.995835,0.879744,0.504980,1.048079,0.545795,-1.262019,0.184486,-1.298761,1.198648,1.330902,0.338803,1.313408,-0.947813,-0.890951,-0.292257,-0.718521,0.358017,0.324865,-0.931151,-1.285452,-0.301001,-0.983024,-0.582758,0.522197,-1.179167,-0.701781,-1.322698,-1.308519,-0.838402"
DB12543,"0.350739,0.515842,0.260414,-0.483797,0.131114,0.452146,-0.589551,-1.935554,0.185230,-0.839739,0.050486,0.122670,0.194301,-0.233158,0.189690,-0.170298,-1.180981,0.211811,-0.236342,1.289819,0.931050,0.063047,1.458613,-0.429707,0.885549,1.610984,-0.258672,-0.343952,0.333191,-1.294938,-0.318663,-0.767691,-0.239865,-0.938898,-0.164501,0.278387,-1.186240,-1.218048,-0.893609,-0.508691,-0.345090,-0.214413,0.218346,-0.283509,-0.098421,-0.072559,-0.092473,0.747499,1.072997,-0.710633,-0.800162,1.069277,-1.004666,0.443274,0.164261,1.201891,1.314113,0.941362,1.246541,0.285874,-1.921441,0.134707,-0.304315,-1.140920"
DB04856,"-0.768270,1.691849,-0.648865,-0.805397,-0.709251,-1.188577,0.383297,-0.031225,-0.425682,0.774945,1.189552,0.684037,-0.795807,-0.717701,-0.857803,0.641111,0.463565,0.457910,0.740459,-0.451358,0.115273,-0.320395,0.214184,1.018198,-0.168804,-0.245811,-0.310805,-0.355539,0.530755,0.970995,0.722099,0.902826,-0.997607,-0.194762,0.600294,-0.447723,1.502996,0.876463,1.158351,0.652945,-0.851908,-0.392209,-0.622812,1.567248,0.640636,0.261746,0.738841,-1.243557,-1.176906,-1.327096,0.364583,0.340940,0.990280,-0.928206,-0.692639,-0.469784,-0.958457,-0.355018,0.703925,-0.870282,-0.367643,-0.635475,-0.673852,-0.252878"
DB08872,"2.035759,0.374303,1.292720,1.704846,1.011479,0.299671,0.477015,-2.243514,0.784549,-2.319162,-1.588377,-1.198256,1.696940,1.467316,-1.607131,-1.085908,-2.408413,-0.071805,-0.918289,2.234712,1.051887,-0.525057,-0.154731,-1.831372,1.672402,1.297417,1.942233,0.539270,-1.916713,-1.392950,-1.456783,0.672415,0.522462,0.790063,-1.051901,1.122078,-1.429231,-1.913448,-0.967002,-0.763420,-0.159985,1.758153,1.270927,-0.887121,-0.988919,1.652661,-1.198925,1.796941,1.860084,1.089103,-2.041055,2.093268,-1.004505,0.673547,1.369018,1.192689,1.733346,-1.213579,1.723745,-0.365775,-0.946531,1.070771,0.204666,-0.004856"
DB11973,"-0.559551,0.996217,-1.293061,-0.936349,-1.326365,-1.213795,0.664147,0.299963,-0.038662,-0.144667,0.741266,0.778662,-0.792290,-1.295900,-0.103200,1.312976,0.970913,1.005753,-0.527490,-0.759904,-0.096712,-0.207730,-0.360364,1.192222,0.092187,0.490310,-0.803896,-0.680816,0.929349,0.884146,1.256064,0.671805,-1.121897,-0.408993,1.315471,-1.001133,0.828177,0.517515,1.045907,0.566982,-1.242481,0.170928,-1.293354,1.178458,1.319410,0.327646,1.307670,-0.950956,-0.897030,-0.239474,-0.728478,0.344815,0.269804,-0.901432,-1.285129,-0.360802,-0.986095,-0.568007,0.499906,-1.165001,-0.710521,-1.310271,-1.282208,-0.862472"
DB03496,"-0.670514,0.926445,-1.243031,-0.961074,-1.268172,-1.166450,0.455962,0.392081,-0.510865,-0.166551,0.760093,0.942094,-0.895633,-1.349048,-0.052559,1.253070,0.901993,1.005576,-0.391818,-0.736367,-0.020014,-0.122744,-0.170621,1.203551,0.240414,0.510713,-1.014326,-0.598800,0.680793,0.827765,1.232765,0.408300,-1.093574,-0.630477,1.246007,-1.040089,0.643271,0.570565,0.947085,0.646853,-1.118085,0.127271,-1.244573,1.037886,1.265770,0.286007,1.269555,-0.887181,-0.803814,0.186662,-0.462288,0.217809,-0.068987,-0.842577,-1.265088,-0.361131,-0.872924,-0.510489,0.396282,-1.062412,-0.728773,-1.245402,-1.142668,-0.913911"
DB12390,"-0.546859,1.335807,-0.574161,-0.884232,-0.682129,-1.226355,-0.081835,0.286220,-0.094551,0.954572,2.003652,1.649405,-0.265105,-0.583368,-2.362894,0.646396,0.275345,1.317398,0.800230,-0.660149,-0.215167,0.154342,0.502258,0.751104,0.932500,-0.413644,-0.358293,-1.161749,0.107139,0.153249,0.631180,0.418483,-0.934534,-0.632756,0.578705,-0.327733,1.044062,1.496712,0.850025,0.991276,-1.271088,0.057149,-0.521908,0.646607,0.645811,0.919014,0.669895,-0.389754,-1.220617,-0.289591,0.875215,0.315273,0.627050,-1.716468,-0.581503,0.628203,-0.671055,-1.183441,-0.647712,-0.251827,-0.444787,-0.572372,-0.524230,-0.209472"
DB11942,"-0.748945,1.149660,-1.144229,-0.959092,-1.170625,-1.107081,0.555029,0.263782,-0.198104,0.211988,0.720443,0.665357,-0.962592,-1.191086,-0.041751,1.140049,0.863524,0.746992,-0.180424,-0.634721,0.029145,-0.340432,-0.209627,1.190968,-0.126078,0.396923,-0.743581,-0.564790,0.813817,1.016701,1.140588,0.613193,-1.148966,-0.484036,1.135402,-0.912714,0.924965,0.524682,1.111748,0.615989,-0.964456,-0.002671,-1.132995,1.290785,1.144118,0.182399,1.175469,-1.134629,-0.998839,-0.519505,-0.436551,0.386273,0.293250,-0.744795,-1.165771,-0.588097,-0.987133,-0.403933,0.589823,-1.223532,-0.608509,-1.139519,-1.032361,-0.762386"
DB02709,"0.307563,-0.122781,-0.702614,-0.254605,-0.611026,0.030760,0.202787,1.112331,0.352528,-0.188851,0.195369,0.333428,0.019481,-0.509559,0.542523,0.701628,0.716693,0.278304,-0.937264,-0.650479,0.025202,0.880381,-0.541362,0.445714,0.244944,-1.187443,-0.709850,0.154703,1.485663,0.199939,0.697186,0.481768,-0.171431,0.176037,0.709559,-0.292445,0.109779,0.806101,0.669819,-0.052493,-0.094996,0.032530,-0.729676,0.108281,0.676803,-0.019404,0.635832,-0.388859,-0.176116,-0.356481,-0.458421,-0.340368,0.515185,-1.263081,-0.660323,-0.831064,-0.740871,0.105027,-0.133646,0.044416,0.191329,-0.698574,-0.347707,-0.419106"
DB12883,"0.707003,0.418137,0.239153,-0.437907,0.091335,0.375063,-0.565956,-2.393888,0.431645,-1.537431,0.024300,0.251833,0.343038,-0.176501,0.013978,-0.112517,-1.131257,0.656107,-0.514715,1.226911,0.971528,0.283949,1.196975,-0.622659,1.228597,1.719689,-0.127911,-0.390358,0.264997,-1.659554,-0.337466,-0.943819,-0.129561,-0.919380,-0.100619,0.141065,-1.359268,-1.093121,-1.087319,-0.724781,-0.628733,0.157487,0.199042,-0.550932,-0.035251,0.277410,-0.074311,1.126195,1.268224,-0.373328,-1.358440,1.100926,-0.952896,0.400135,0.172201,1.658529,1.546940,0.573083,0.938822,0.385690,-2.196693,0.085489,-0.375219,-1.420172"
DB11915,"-0.134064,0.772545,0.728041,0.608155,0.631488,-0.726666,1.097092,0.236573,-1.937959,0.661351,-0.983667,-1.827004,0.529493,0.537240,-0.229320,-0.754520,-0.958250,-0.922669,-0.097013,0.738009,0.909586,-1.727473,-0.431348,-0.259952,-0.570950,1.097366,1.433370,-0.721163,-1.155818,1.250079,-0.676559,1.423605,-0.048067,1.605446,-0.754636,0.524296,0.205572,-1.535570,0.650068,0.682181,-0.048937,0.402712,0.726001,0.921797,-0.754670,0.450394,-0.696277,-0.608891,-0.021682,-0.533578,0.470930,0.920060,0.012808,0.753353,0.711841,-0.867801,-0.356634,-0.695082,1.883489,-0.908739,0.928518,0.722559,0.507490,1.892535"
DB09283,"0.318650,-0.125090,-0.700458,-0.250293,-0.610789,-0.003106,0.148301,1.035561,0.113273,-0.130832,0.234895,0.402837,0.010101,-0.464419,0.508852,0.703683,0.738799,0.375169,-0.971732,-0.736582,0.062534,0.958090,-0.445447,0.431482,0.314777,-1.221647,-0.725255,0.205629,1.439911,0.196726,0.691197,0.488172,-0.199375,0.112009,0.708534,-0.377688,0.031430,0.793722,0.669143,0.215061,-0.162859,-0.062149,-0.725557,0.085415,0.675364,-0.055838,0.629904,-0.375089,-0.169196,-0.361623,-0.425059,-0.351442,0.626459,-1.277336,-0.656706,-0.808221,-0.731410,0.111079,-0.214903,0.000068,0.194367,-0.696029,-0.368576,-0.368243"
DB09330,"-1.168090,0.707148,-0.297628,-1.265291,-0.329046,0.086950,-0.699304,0.368346,0.863106,1.625585,2.157608,2.409305,-0.985044,-0.753578,-1.660359,0.242198,0.678729,0.854670,2.117329,0.043777,-0.101726,0.529190,1.132435,0.704201,1.519141,-1.670177,-1.324338,-0.789824,-1.026781,0.091246,0.466959,-0.677515,-0.857513,-2.411216,0.165115,-0.090988,0.518944,2.041570,0.743113,0.349375,0.794756,0.204447,-0.179528,0.299398,0.244832,0.250104,0.401758,-0.503100,-1.302705,-0.599333,0.616466,0.098018,-0.667530,-1.320778,-0.400732,-0.287526,-0.379243,-0.718711,-2.147385,-0.419759,-0.009799,-0.125898,0.197939,-0.602266"
DB09102,"-1.222963,1.046036,-0.908383,-0.810708,-0.878838,-0.835057,0.175819,0.737608,-0.550751,0.461337,0.211449,0.934582,-1.335515,-1.228908,0.288359,0.817717,0.775166,0.265681,0.444965,-0.345643,0.259528,-0.236711,0.379257,1.259312,-0.371668,0.147691,-0.937643,0.228357,0.352111,1.165846,1.023860,0.163842,-1.057154,-0.882821,0.800720,-0.847752,0.318050,0.255948,0.838746,0.414179,-0.068920,-0.319005,-0.914087,1.266275,0.825787,-0.246066,0.953425,-1.375904,-0.943603,-0.204590,0.141331,-0.023568,-0.662137,-0.056434,-1.034455,-1.100143,-0.887631,0.059644,0.631331,-0.821408,-0.396071,-0.814098,-0.253547,-0.787338"
DB01003,"-0.513405,1.164309,-1.352607,-0.922453,-1.398756,-1.310458,0.790043,0.350736,0.128226,-0.062752,0.742379,0.753310,-0.840743,-1.321491,-0.310278,1.379795,0.971284,1.078868,-0.663157,-0.801946,-0.230859,-0.362112,-0.444947,1.238419,0.059773,0.530887,-0.748784,-0.772855,0.865502,0.989750,1.307886,0.795193,-1.196364,-0.466913,1.385256,-1.026137,0.896205,0.405100,1.127331,0.484333,-1.329836,0.239930,-1.352984,1.303730,1.388298,0.355115,1.366383,-1.030374,-0.981055,-0.296326,-0.703989,0.404748,0.326781,-0.929209,-1.332560,-0.351007,-1.069006,-0.685601,0.652510,-1.277504,-0.677800,-1.381912,-1.361314,-0.830890"
DB03756,"-0.289328,1.485743,-0.580890,-0.827254,-0.718563,-1.387478,0.102780,0.105752,0.275453,1.072352,2.026222,1.514690,-0.099776,-0.377775,-2.765805,0.681469,0.301824,1.418986,0.712705,-0.732703,-0.259403,0.087910,0.283483,0.702934,0.848595,-0.482174,0.003065,-1.309195,0.352241,0.098275,0.607075,0.769958,-0.894087,-0.338232,0.620225,-0.283656,1.338213,1.509058,0.890975,1.121896,-1.623053,0.107170,-0.527557,0.754546,0.670752,1.056714,0.666443,-0.370557,-1.238669,-1.018312,0.755184,0.424536,1.184248,-1.662839,-0.542236,0.793139,-0.765508,-1.289654,-0.531268,-0.265606,-0.382592,-0.610520,-0.672236,-0.071521"
DB12537,"0.660668,0.494613,0.317371,-0.420172,0.171217,0.510296,-0.589722,-2.319175,0.227132,-1.050218,0.116631,-0.041884,0.157456,-0.194975,0.154117,-0.202091,-1.249815,0.355719,-0.167436,1.351387,0.845939,0.064416,1.344893,-0.557886,0.836889,1.655084,-0.164202,-0.490948,0.294533,-1.505099,-0.392689,-0.840957,-0.088742,-0.907003,-0.198385,0.207654,-1.158278,-1.180134,-1.034694,-0.609694,-0.362560,-0.126714,0.273078,-0.421836,-0.129314,-0.034792,-0.140853,0.925913,1.277364,-0.666991,-0.878623,1.114801,-0.829753,0.588884,0.243987,1.503089,1.392158,0.887826,1.248167,0.342401,-2.039257,0.164583,-0.322371,-1.226915"
DB07954,"-0.578579,0.180317,-1.017636,-0.769811,-0.976338,-0.542979,0.497495,0.263171,0.210914,-0.292286,0.434390,0.611033,-0.813029,-0.929282,0.600975,1.004520,0.870951,0.599155,-0.003344,-0.521426,0.064445,0.153143,-0.199413,0.976345,-0.394466,0.188553,-0.970703,0.178424,1.355327,0.307019,1.009353,0.165565,-0.567730,-0.330437,1.006203,-0.811210,0.128452,0.711338,0.445794,-0.176785,-0.596528,0.021558,-1.039790,0.690056,0.994958,-0.209176,1.016617,-0.588333,-0.475112,-0.170808,-0.655878,-0.322261,0.184021,-0.110447,-1.022657,-0.380112,-0.795763,0.409979,0.275839,-0.374261,-0.623623,-1.012894,-0.797841,-1.171219"
DB12704,"0.113126,0.385620,-0.426895,0.233617,-0.465882,-0.746717,1.085808,0.502211,-0.012191,0.017439,-0.456316,-0.286975,0.155187,-0.148864,-0.890884,0.412395,-0.014041,-0.097293,-0.831842,0.145051,-0.235655,-1.098050,-0.891585,0.400729,0.108994,0.636736,0.576071,-0.024621,-0.403660,0.919074,0.440232,1.418395,-0.790027,0.407696,0.442729,0.158536,0.218616,-0.372535,0.741525,-0.959066,-0.618146,0.765462,-0.438860,0.820838,0.435661,0.692848,0.386821,-0.596990,-0.385834,0.465264,-0.568853,0.519157,-0.978432,-0.196140,-0.407259,-0.929461,-0.604693,-0.832548,1.007843,-1.223941,-0.017276,-0.429127,-0.608113,0.130796"
DB12385,"-0.497466,1.033729,-1.300603,-0.933052,-1.339798,-1.223246,0.663909,0.248395,0.040427,-0.123976,0.767808,0.757191,-0.787629,-1.297895,-0.166111,1.325326,0.982222,1.037183,-0.553534,-0.770887,-0.145589,-0.225281,-0.374922,1.182216,0.095424,0.498458,-0.781079,-0.736737,0.921747,0.883469,1.257160,0.689227,-1.125038,-0.419842,1.329194,-0.996398,0.880886,0.503031,1.050391,0.550607,-1.262112,0.186535,-1.299905,1.198710,1.332075,0.339916,1.314510,-0.948933,-0.893240,-0.286741,-0.721836,0.359617,0.318552,-0.936729,-1.286677,-0.304711,-0.986202,-0.588298,0.525467,-1.182813,-0.701903,-1.323718,-1.310470,-0.836830"
DB06200,"0.381758,-0.480784,-0.424700,-0.197383,-0.303081,0.061011,-1.287922,1.055421,0.504983,-0.563858,0.847195,0.370410,-0.106666,-0.011461,0.044741,0.480680,0.755571,1.599159,-0.834324,-1.797178,-1.149590,1.475896,-0.352359,-0.063866,-0.934716,-0.023457,-0.616179,0.072830,0.305405,-0.615983,0.287117,-0.950092,0.862588,0.261664,0.473347,-1.365945,0.678055,0.182128,-0.468312,0.308274,-0.724050,-1.346249,-0.421979,-0.210240,0.408187,-0.792724,0.324070,0.410194,-0.257193,1.263036,0.399128,-1.597719,2.186085,-1.237992,-0.281782,0.870273,-0.240756,-0.398350,-1.092951,0.802316,0.062127,-0.511697,-0.775585,0.995281"
DB08837,"-0.515409,1.167580,-1.355946,-0.925158,-1.402685,-1.317077,0.791406,0.350192,0.119072,-0.061549,0.740592,0.748760,-0.841754,-1.320905,-0.300475,1.383398,0.969345,1.078195,-0.667725,-0.799907,-0.230093,-0.361244,-0.446724,1.241113,0.060878,0.534944,-0.745705,-0.771049,0.862874,0.993380,1.310699,0.794357,-1.198419,-0.463344,1.389441,-1.025393,0.898658,0.396521,1.131219,0.483258,-1.331443,0.237379,-1.356365,1.305879,1.392835,0.354548,1.369897,-1.033705,-0.987779,-0.287045,-0.698588,0.410443,0.319947,-0.928708,-1.335548,-0.354504,-1.068861,-0.686895,0.658419,-1.276160,-0.680646,-1.386874,-1.363174,-0.833197"
