uniprot_id,seq_features
P28335,"0.028681,-0.279062,-0.057113,0.387360,-0.318231,-0.109189,-0.317574,0.295267,-0.319581,0.014236,-0.365207,-0.178272,0.287342,-0.002209,0.226215,-0.088732,0.549470,-0.065847,0.263098,0.268291,0.020841,-0.204523,-0.204607,-0.192035,0.166201,0.390509,-0.062955,-0.309473,-0.456095,0.089613,0.077300,-0.023395,0.003072,0.270694,-0.245386,-0.266212,0.420904,0.275165,-0.324330,-0.082972,-0.273899,0.434030,-0.111096,0.111322,-0.270694,-0.375072,0.298586,0.254898,0.170414,-0.304131,-0.426876,-0.032685,0.396593,-0.174686,0.303592,0.329963,0.150270,-0.185424,-0.379420,0.242641,0.076218,-0.341425,-0.296423,-0.001869"
Q05940,"0.281625,-0.014601,0.243220,-0.233140,0.112435,0.057953,-0.030278,-0.024203,-0.033494,-0.148554,0.046048,0.252428,-0.061331,-0.278076,-0.095334,-0.210684,0.020886,0.103653,-0.298299,0.011621,-0.102701,0.052757,0.042977,0.105305,0.025164,-0.008331,0.106732,0.071206,0.209215,-0.129582,-0.070848,-0.207980,0.262304,0.007637,0.018867,-0.000836,-0.148161,-0.142700,-0.007705,-0.128752,0.188923,0.027966,0.039129,-0.171974,-0.017588,0.052544,-0.058326,-0.059721,-0.029837,-0.052597,-0.041341,0.260827,-0.056138,0.239136,-0.002839,-0.047610,-0.330946,-0.038520,-0.000848,-0.051424,-0.136480,0.168578,0.131112,0.133761"
P28223,"0.162398,-0.030931,0.142430,0.017545,-0.020659,0.069452,-0.040769,0.038483,-0.046378,-0.156724,-0.058886,0.074238,-0.003680,-0.172117,-0.040645,-0.218546,0.155207,0.106269,-0.044263,0.017517,-0.126394,0.056383,0.021189,0.034456,-0.013254,0.076299,0.119126,-0.012285,-0.032578,-0.101858,-0.086067,-0.159416,0.210893,0.019527,-0.008132,-0.002925,0.058735,0.006951,-0.050606,-0.197426,0.029964,0.066751,0.061632,-0.140884,-0.013546,-0.068803,0.007820,-0.007131,-0.016758,-0.033217,-0.074886,0.143346,0.041312,0.112940,0.029112,0.049430,-0.150566,0.002208,-0.056035,-0.004881,-0.110324,0.014253,0.016972,0.140497"
P41595,"0.122052,0.091560,0.118348,-0.041314,0.066302,0.125240,0.089842,-0.082292,0.086286,-0.146828,0.065317,0.081975,-0.086845,-0.130978,-0.102402,-0.163041,-0.035241,0.126906,-0.048664,-0.095451,-0.149822,0.118298,0.112541,0.099935,-0.109878,-0.065004,0.128389,0.079663,0.015418,-0.130893,-0.129583,-0.124375,0.130997,-0.091843,0.098373,0.105713,-0.048523,-0.056231,0.078096,-0.152756,0.061456,-0.076564,0.130580,-0.128774,0.097451,0.057959,-0.095669,-0.098412,-0.108007,0.092870,0.066188,0.110243,-0.061600,0.082964,-0.092282,-0.067258,-0.087708,0.107592,0.066905,-0.093472,-0.120838,0.071048,0.081621,0.147848"
Q07343,"0.128471,0.130155,0.123551,-0.128079,0.127918,0.131734,0.119075,-0.120222,0.124738,-0.179532,0.102389,0.157547,-0.162136,-0.143049,-0.139137,-0.166378,-0.090747,0.151745,-0.176111,-0.131170,-0.125331,0.141872,0.112811,0.143751,-0.118116,-0.128740,0.144818,0.145503,0.183539,-0.115224,-0.127480,-0.137317,0.184278,-0.137836,0.113005,0.114569,-0.127975,-0.147990,0.114076,-0.178388,0.156082,-0.165557,0.122262,-0.176882,0.148320,0.115207,-0.128929,-0.123890,-0.111206,0.124863,0.154762,0.141542,-0.171223,0.222912,-0.112688,-0.121567,-0.183564,0.125500,0.161382,-0.139917,-0.145806,0.194058,0.173500,0.122035"
Q08499,"-0.200763,-0.187341,-0.121930,0.183202,-0.189316,-0.170756,-0.212148,0.204586,-0.235959,0.022502,-0.228158,-0.079680,0.141893,0.105826,0.190505,0.065898,0.287491,-0.069677,0.028049,0.202417,0.161938,-0.181596,-0.275702,-0.179026,0.182397,0.210432,-0.119135,-0.142332,-0.039768,0.215923,0.122522,0.052920,0.007444,0.157178,-0.257922,-0.238591,0.208515,0.080532,-0.198733,-0.055766,-0.076537,0.206902,-0.217385,0.064420,-0.158323,-0.195168,0.291849,0.188779,0.209531,-0.200387,-0.150839,-0.110284,0.091393,0.181237,0.273037,0.278274,-0.005040,-0.178513,-0.151952,0.151761,0.108439,-0.105981,-0.188431,-0.225287"
O76074,"0.027467,0.117974,0.071466,-0.082748,0.102684,0.107884,0.123657,-0.103949,0.135118,-0.139988,0.085281,0.089000,-0.144784,-0.062420,-0.095869,-0.093794,-0.096921,0.129635,-0.128619,-0.120949,-0.106717,0.131940,0.077722,0.102010,-0.110614,-0.111903,0.107700,0.132353,0.172593,-0.086355,-0.109770,-0.092018,0.125383,-0.134823,0.091461,0.114525,-0.088017,-0.097556,0.109697,-0.150911,0.107055,-0.165116,0.098076,-0.142072,0.144021,0.110203,-0.079831,-0.111130,-0.087498,0.133882,0.167633,0.092640,-0.170227,0.202249,-0.089620,-0.071450,-0.140014,0.123909,0.146278,-0.124423,-0.099981,0.153248,0.121542,0.076046"
P27815,"-0.036290,-0.044176,-0.032120,0.073961,-0.069437,-0.050961,-0.059834,0.069053,-0.065905,0.015271,-0.079258,-0.024462,0.022723,0.029590,-0.016496,-0.021636,0.067314,-0.052211,0.066586,0.046357,0.070390,0.000027,-0.036736,-0.047740,0.056221,0.051334,0.012130,-0.053535,-0.004347,0.058639,0.055430,0.058118,0.047383,0.051324,-0.063442,-0.058615,0.064502,0.042889,-0.055388,-0.020895,-0.019366,-0.008788,-0.063303,-0.037130,-0.025182,-0.092034,0.012516,0.046001,0.077192,-0.004280,-0.030504,-0.074870,0.025976,0.014316,0.029553,0.024188,0.000300,-0.066298,0.001624,0.059473,-0.009650,0.008538,-0.003461,-0.026470"
Q16790,"0.162807,0.176841,0.170610,-0.165289,0.168519,0.167217,0.173244,-0.175580,0.173624,-0.157417,0.171537,0.162148,-0.171556,-0.158650,-0.175392,-0.167012,-0.189741,0.154246,-0.158676,-0.171365,-0.168691,0.174705,0.180025,0.172868,-0.164435,-0.178722,0.164019,0.165976,0.147797,-0.171042,-0.166536,-0.143711,0.143217,-0.168093,0.174355,0.173268,-0.181835,-0.159113,0.174909,-0.149211,0.155600,-0.184239,0.172183,-0.166746,0.175164,0.177224,-0.182867,-0.171446,-0.174336,0.184061,0.168178,0.143972,-0.168867,0.132698,-0.179268,-0.177197,-0.145428,0.162904,0.174191,-0.173241,-0.166410,0.175801,0.174058,0.174147"
P00915,"0.152742,0.197198,0.159526,-0.169993,0.184022,0.175374,0.198626,-0.189818,0.199021,-0.157364,0.192725,0.155841,-0.189946,-0.146793,-0.198308,-0.156738,-0.219708,0.154201,-0.138979,-0.195013,-0.169329,0.195242,0.200864,0.178863,-0.182776,-0.199938,0.171570,0.181103,0.163355,-0.178153,-0.167394,-0.131339,0.142992,-0.188736,0.198652,0.200080,-0.193122,-0.160345,0.196029,-0.140342,0.163610,-0.225423,0.182825,-0.174425,0.198937,0.184450,-0.214362,-0.189137,-0.181844,0.211166,0.204369,0.132716,-0.186612,0.121306,-0.211307,-0.202333,-0.140453,0.181901,0.203766,-0.183190,-0.170904,0.190108,0.195149,0.177422"
Q01959,"0.272743,0.043180,0.266347,-0.139330,0.100633,0.104222,0.029516,-0.040129,0.016325,-0.219491,0.049907,0.213258,-0.087901,-0.265307,-0.129662,-0.242119,0.004858,0.152479,-0.262940,-0.028330,-0.172738,0.097055,0.104836,0.123825,-0.047982,-0.029347,0.158024,0.076209,0.179789,-0.167432,-0.128769,-0.261241,0.309284,-0.043041,0.074457,0.031510,-0.115617,-0.144831,0.031246,-0.290360,0.146052,0.007228,0.090144,-0.213335,0.044170,0.075275,-0.098525,-0.088300,-0.078389,0.045256,0.011704,0.293859,-0.051784,0.263179,-0.029716,-0.041504,-0.361238,0.056323,0.028354,-0.079997,-0.199243,0.157427,0.125490,0.167039"
P27338,"-0.665787,-1.092652,-0.729337,0.825516,-0.878832,-1.015120,-0.958051,1.108120,-0.910233,1.033026,-0.881182,-1.004847,0.967116,0.879280,0.790254,0.861955,0.817568,-1.093254,0.969768,1.017141,0.905149,-0.820232,-0.851396,-1.032858,1.080039,1.034129,-0.898427,-1.015200,-0.670172,0.759283,1.121099,1.118420,-0.759904,1.103494,-0.853037,-0.896621,0.825456,1.175617,-1.059298,1.110145,-0.811549,0.752054,-0.985677,0.724018,-1.002346,-1.081839,0.720913,1.005888,1.083735,-0.893820,-0.965581,-0.900587,1.025023,-1.234478,0.801235,0.840214,0.661970,-1.099811,-0.971398,0.999319,0.965110,-0.678804,-0.731396,-0.689708"
P35354,"0.158076,0.205802,0.169117,-0.182311,0.191115,0.183495,0.204905,-0.199699,0.204118,-0.169829,0.199262,0.171224,-0.197604,-0.159218,-0.203754,-0.165625,-0.224796,0.167356,-0.158063,-0.202079,-0.177708,0.202109,0.205853,0.190464,-0.189670,-0.209064,0.179876,0.192998,0.173018,-0.183571,-0.179128,-0.147982,0.154203,-0.197164,0.202118,0.206197,-0.201132,-0.175649,0.203748,-0.155947,0.172062,-0.226767,0.189241,-0.180663,0.206313,0.194007,-0.216749,-0.198013,-0.191186,0.213415,0.211386,0.144968,-0.197973,0.142469,-0.213675,-0.206371,-0.156035,0.190390,0.210536,-0.193693,-0.179256,0.195933,0.200884,0.182658"
P02788,"0.163735,-0.031100,0.150591,-0.168479,0.101226,0.037336,0.010942,-0.002905,0.031276,-0.075990,0.063098,0.102615,-0.050450,-0.119045,-0.037843,-0.070820,-0.018521,0.057997,-0.193791,0.006900,-0.094753,0.045561,0.021446,0.051567,0.010629,-0.002570,0.037576,0.051511,0.180588,-0.117021,-0.025572,-0.095441,0.123167,0.010185,0.037420,0.052474,-0.094245,-0.025164,-0.019187,-0.030564,0.110212,-0.007700,0.039589,-0.085336,-0.006046,0.043027,-0.046316,-0.036617,-0.007898,-0.030285,0.008249,0.203265,-0.041571,0.077115,-0.010080,-0.017322,-0.264986,-0.007643,-0.026221,-0.053503,-0.030508,0.116845,0.105078,0.094923"
P17252,"-0.900748,-2.226468,-0.238582,0.861392,-1.438458,-1.398747,-2.048414,2.225718,-2.066177,0.093685,-2.154746,-0.500692,1.238646,0.231598,1.234501,0.009224,2.779396,-0.514460,-0.092019,1.981526,0.938416,-0.881932,-2.160978,-1.523397,1.839814,2.300903,-0.417402,-1.308615,0.442280,1.043924,1.037768,-0.297316,1.438617,1.706689,-2.175790,-1.748956,1.845441,1.136649,-2.073618,-0.723407,-0.410568,2.024393,-1.810092,-0.285965,-1.761656,-1.954417,2.281519,1.497279,2.115479,-1.895763,-1.609095,0.311131,0.976409,1.583551,2.347280,2.429348,-1.561309,-1.866744,-1.823111,1.555897,0.574555,-0.780840,-1.382789,-1.102559"
P50591,"0.146016,0.079428,0.094146,-0.112481,0.100884,0.122726,0.085676,-0.081155,0.097423,-0.141097,0.074971,0.131666,-0.111596,-0.148978,-0.112617,-0.153197,-0.031761,0.136840,-0.122243,-0.102362,-0.110425,0.109235,0.097677,0.118826,-0.104592,-0.084576,0.139220,0.110394,0.136421,-0.112702,-0.104342,-0.147595,0.172792,-0.099818,0.090238,0.088087,-0.079274,-0.109699,0.077058,-0.123893,0.143721,-0.077169,0.109079,-0.137089,0.093390,0.065093,-0.091751,-0.095719,-0.086090,0.071374,0.085305,0.164031,-0.112149,0.149939,-0.088579,-0.108367,-0.142146,0.107486,0.098766,-0.098544,-0.123173,0.126540,0.134505,0.131638"
P08588,"0.238175,0.109852,0.233180,-0.206498,0.163293,0.146520,0.102369,-0.118336,0.100481,-0.201320,0.124036,0.228846,-0.156284,-0.241447,-0.177929,-0.235974,-0.096709,0.164871,-0.241794,-0.115035,-0.168310,0.162437,0.138353,0.164585,-0.108101,-0.115244,0.188195,0.147585,0.215124,-0.178886,-0.154936,-0.214615,0.270011,-0.118489,0.124661,0.117152,-0.171185,-0.171949,0.112600,-0.201309,0.207775,-0.119285,0.133727,-0.222399,0.120143,0.126552,-0.148526,-0.144797,-0.122963,0.109224,0.109160,0.228797,-0.151526,0.239302,-0.121150,-0.133957,-0.281564,0.098875,0.129519,-0.139507,-0.194639,0.206307,0.185136,0.186217"
P03372,"-2.724949,-2.770445,-2.959665,3.139152,-3.066297,-2.571606,-3.270499,3.219623,-2.980708,0.888151,-4.054394,-1.758255,1.638199,2.320680,2.489689,1.292761,4.672270,-1.608042,1.047778,2.726442,2.908862,-2.200377,-3.557581,-2.288742,2.884555,3.010035,-1.744189,-2.285844,-0.402639,3.379125,2.635691,1.807357,-0.123245,2.458106,-3.583617,-3.333196,3.527056,1.878535,-3.386165,-0.105380,-1.831651,1.750587,-3.057849,0.873434,-2.082755,-3.472705,3.245646,3.062132,3.415532,-2.776688,-1.900692,-1.868730,1.294288,1.442775,3.626262,3.129074,0.203071,-2.603558,-1.669249,2.455819,1.798136,-0.891704,-1.476030,-2.940017"
P23945,"0.128830,0.195851,0.146789,-0.161557,0.178273,0.174797,0.198268,-0.189033,0.199894,-0.165664,0.186418,0.151691,-0.190557,-0.136626,-0.181298,-0.146715,-0.209475,0.162271,-0.147698,-0.193891,-0.170718,0.188524,0.184448,0.174725,-0.183535,-0.197799,0.163475,0.186347,0.168416,-0.169103,-0.170225,-0.135011,0.136340,-0.193207,0.187955,0.194376,-0.182942,-0.159841,0.193444,-0.149780,0.159036,-0.216921,0.178751,-0.168955,0.199726,0.186990,-0.191335,-0.186665,-0.178536,0.205131,0.209209,0.134335,-0.196754,0.149227,-0.194734,-0.181942,-0.143205,0.186502,0.200933,-0.186811,-0.161786,0.185205,0.182773,0.162344"
P35372,"-1.096469,-2.723697,-2.771221,1.648703,-2.180840,-2.215047,-2.791238,2.193774,-2.664710,3.060292,-2.170541,-1.790570,3.004666,1.740641,2.941032,2.770552,2.861097,-2.439389,2.144122,2.547158,2.632516,-3.473567,-2.409805,-2.041481,2.295264,2.405986,-2.725133,-2.440042,-3.025864,2.491492,2.539325,1.683880,-3.181913,2.643529,-2.452525,-2.976116,2.296791,1.744292,-2.542054,3.733576,-2.036952,4.199188,-2.279219,3.743481,-3.208905,-2.269544,2.880246,2.608691,2.034202,-3.551283,-3.615140,-1.464755,3.070938,-3.318574,2.676233,1.792175,3.213049,-2.399503,-3.200384,2.580137,2.727112,-3.408242,-2.681104,-2.330557"
P32239,"0.233481,0.158691,0.218848,-0.223663,0.180281,0.164214,0.149913,-0.160820,0.144474,-0.194356,0.162593,0.217723,-0.176303,-0.213481,-0.192278,-0.206644,-0.158332,0.163342,-0.220416,-0.158122,-0.175842,0.184549,0.167758,0.174933,-0.143924,-0.164697,0.192228,0.177969,0.217557,-0.182178,-0.166432,-0.207625,0.232193,-0.156366,0.165869,0.153870,-0.198693,-0.204989,0.162297,-0.200951,0.206366,-0.160047,0.160930,-0.212236,0.158222,0.169910,-0.185094,-0.167266,-0.159342,0.155199,0.159315,0.213355,-0.179613,0.205442,-0.159198,-0.185872,-0.250193,0.137433,0.168677,-0.172441,-0.201605,0.199854,0.196423,0.183937"
Q9Y289,"0.159046,0.206069,0.169452,-0.183035,0.192794,0.184325,0.205161,-0.202066,0.203258,-0.170492,0.202308,0.171684,-0.196087,-0.161299,-0.197127,-0.164414,-0.224579,0.168719,-0.161159,-0.201627,-0.178782,0.194467,0.202267,0.188281,-0.191099,-0.208824,0.174536,0.192581,0.168868,-0.183052,-0.181252,-0.149131,0.146550,-0.198824,0.202223,0.202670,-0.204390,-0.179007,0.205740,-0.152980,0.173283,-0.220547,0.190660,-0.175783,0.203568,0.200382,-0.211653,-0.197555,-0.193892,0.210181,0.209226,0.146892,-0.196271,0.145260,-0.210554,-0.202236,-0.147050,0.191236,0.208191,-0.193357,-0.177087,0.193239,0.195060,0.177566"
P54760,"0.098418,-0.139216,-0.120009,0.000599,-0.039663,-0.005047,-0.097090,0.109894,-0.052485,0.053755,-0.076633,-0.023264,0.087320,-0.031922,0.083238,0.021543,0.238160,0.013434,0.071535,0.057322,0.045227,-0.106020,-0.062495,-0.028039,0.026517,0.106597,-0.006771,-0.056372,-0.023580,0.017040,0.084228,-0.063301,0.015816,0.085748,-0.060662,-0.077760,0.139883,0.054390,-0.126739,0.125864,0.041535,0.213277,-0.029268,0.088125,-0.127889,-0.161309,0.106700,0.101548,0.076834,-0.186756,-0.149881,0.124528,0.094690,-0.111536,0.079589,0.006890,0.015414,-0.022919,-0.136198,0.072890,0.060314,-0.102824,-0.005303,0.025852"
P11217,"0.117403,-0.007200,0.097061,-0.060076,0.054305,0.020854,0.006948,0.033064,0.017681,-0.046668,0.004117,0.050120,-0.060271,-0.073406,-0.116248,-0.122832,-0.003311,0.023656,-0.048125,-0.014983,-0.016098,0.090618,0.046064,0.020108,-0.000444,0.012210,0.110993,0.007626,0.163001,-0.066272,0.000848,-0.033631,0.197861,0.000540,0.040364,0.032930,-0.038726,-0.011062,-0.001947,-0.065564,0.119709,-0.106147,0.008090,-0.155087,0.034648,-0.038513,-0.090051,-0.014648,0.027252,0.060415,0.043047,0.063112,-0.035412,0.045062,-0.065646,-0.071350,-0.154376,-0.009407,0.069535,-0.002314,-0.089462,0.138110,0.125413,0.096727"
P50750,"-0.454239,-0.715777,-0.350851,0.508465,-0.594262,-0.538313,-0.746635,0.801759,-0.683632,0.061638,-0.913432,-0.251370,0.321285,0.301955,0.466335,0.065897,1.081244,-0.241129,-0.015121,0.657881,0.523668,-0.341827,-0.810507,-0.517390,0.681910,0.771613,-0.206901,-0.473872,0.244867,0.589796,0.510461,0.166886,0.381207,0.576180,-0.819373,-0.716019,0.734212,0.405556,-0.789104,-0.232530,-0.204988,0.416014,-0.689560,-0.079025,-0.495328,-0.776425,0.759763,0.634575,0.825623,-0.616933,-0.433770,-0.146725,0.236108,0.609423,0.830647,0.783288,-0.381568,-0.639242,-0.409668,0.550993,0.267919,-0.045052,-0.285154,-0.498059"
Q03181,"0.082947,-0.069973,0.048174,0.004580,-0.035800,-0.018273,-0.109287,0.089426,-0.094737,-0.114326,-0.132839,0.094012,-0.036949,-0.098966,-0.044712,-0.165758,0.199650,0.049179,-0.102939,0.059268,0.021653,0.038837,-0.055549,0.018184,0.069355,0.085546,0.090826,-0.026441,0.117929,0.019503,0.011811,-0.092521,0.262405,0.050033,-0.085742,-0.065772,0.066968,-0.031019,-0.100901,-0.190747,0.061407,-0.011464,-0.047401,-0.161532,-0.021169,-0.113390,0.019216,0.046519,0.084863,-0.061352,-0.030120,0.090991,-0.024698,0.240708,0.077623,0.038926,-0.222511,-0.071226,0.007062,0.038962,-0.094509,0.112368,0.086942,0.023072"
O14980,"0.271075,-0.130891,0.268210,-0.172735,-0.009485,-0.012562,-0.142248,0.112507,-0.188745,-0.175269,-0.082481,0.242715,0.055145,-0.327759,-0.029249,-0.269297,0.164792,0.092036,-0.324727,0.134501,-0.074301,-0.013782,-0.036788,0.042005,0.130969,0.130483,0.107017,-0.013567,0.139608,-0.059801,-0.049089,-0.276109,0.380005,0.113311,-0.087137,-0.097426,-0.072379,-0.109774,-0.124480,-0.251809,0.157681,0.149295,-0.043020,-0.187046,-0.146649,-0.056847,0.028391,0.028204,0.050929,-0.185011,-0.151159,0.283237,0.054120,0.328994,0.122501,0.073004,-0.380004,-0.132389,-0.124112,0.046840,-0.118811,0.088433,0.023518,0.082750"
P23219,"0.257660,0.175864,0.277699,-0.258073,0.222566,0.187051,0.171713,-0.181552,0.179861,-0.239417,0.196976,0.269813,-0.214339,-0.265205,-0.238413,-0.263380,-0.200835,0.210251,-0.328827,-0.183404,-0.213993,0.209705,0.201367,0.223205,-0.175138,-0.192968,0.238326,0.216318,0.321605,-0.221509,-0.202459,-0.251037,0.302051,-0.189465,0.195188,0.200396,-0.242528,-0.240715,0.188192,-0.271308,0.280517,-0.244603,0.185196,-0.279699,0.182836,0.201394,-0.219592,-0.189680,-0.187507,0.199270,0.214556,0.272235,-0.221102,0.284167,-0.200178,-0.212748,-0.338761,0.180130,0.214856,-0.206168,-0.251983,0.279383,0.238778,0.224142"
P08908,"0.202123,0.149957,0.202897,-0.191234,0.173931,0.164876,0.145045,-0.148412,0.147730,-0.197281,0.149444,0.205655,-0.182079,-0.206462,-0.184146,-0.211591,-0.137062,0.174424,-0.218954,-0.154081,-0.170581,0.178594,0.158641,0.174294,-0.143057,-0.152553,0.185225,0.169585,0.213334,-0.174648,-0.164836,-0.186826,0.230388,-0.156141,0.154530,0.148623,-0.177591,-0.179114,0.146379,-0.197698,0.200636,-0.171485,0.157319,-0.214208,0.159824,0.153947,-0.172255,-0.162496,-0.148768,0.150837,0.161608,0.194376,-0.179079,0.224272,-0.153199,-0.159999,-0.235880,0.140975,0.173882,-0.163444,-0.187962,0.214308,0.200290,0.180244"
