uniprot_id,seq_features
O00299,"-0.09731719067290269,-0.14342692026482962,0.09732801096509439,-0.11389636480934955,-0.1246390552718464,0.15145695537473025,-0.06975156792973404,0.1158903220016987,0.08426518038309205,-0.09301211407831564,0.03388230643696949,-0.14596675242971455,0.08674210289067114,0.04858782467332683,0.028495028228905206,0.11230373682813219,-0.1552130596131019,0.05812504271327653,-0.2829566098683948,-0.1221644799075347,0.10547438202086264,0.05215827750175294,-0.08012124357519827,-0.11761779136184061,-0.10016114657752252,0.09054359515277555,-0.04296814215097369,-0.24364921168140588,0.05617338326753544,-0.057556282432641825,0.09156720723595003,0.09163199526076043,0.09381483331668063,0.08745234348260002,-0.12370746554227541,0.18655678288579522,-0.15651386897054917,-0.08864147712376316,0.07700713214638408,-0.11430295712397376,-0.08406965673631103,0.10424522771149253,0.06765266949344761,-0.055284832794432505,-0.1467421021625001,0.10025489288723567,0.18678082721460665,-0.14371351224229362,-0.12205676732274824,0.1526832031658481,-0.08314614844932905,-0.12221910722100393,0.0015600452920588321,0.0866571885064631,0.12812332370951335,0.1321971067695602,0.07225301612972654,0.07769255953914622,-0.12071101497470221,-0.08068783357966718,-0.055040575271245736,0.13622811996014203,-0.07176530043810155,-0.14281632732937072"
O00303,"0.10676088184772262,0.040877779199827026,0.057829749314098705,0.05039090104352394,0.05656925461681727,-0.029143709921294874,0.03587527278787484,0.02222260755642587,-0.022376923379163798,0.00673112338301432,-0.05934425653792728,0.07777106618690975,0.0006161803053175245,-0.01039728617511456,-0.07761023662637612,-0.0032360030977802846,0.11213374279753348,-0.17322943931160417,0.022241883550754727,0.046978023688280114,-0.08859887587387208,0.101803859227907,0.10872519773896955,0.09899062264209124,0.08005450992776081,-0.10208241510566855,0.04988390512099781,-0.017493622516085567,-0.02133478673100142,0.03621222323041361,-0.11204204147944537,-0.16860794048969377,0.030157298651662917,-0.08797160341324238,-0.12710804988005622,0.09323033836346999,-0.004331759833004818,0.07040392650072284,0.03824665406133962,0.11761234979232928,0.04840356770982435,-0.027944809718282785,-0.09119517146624304,0.018444967734103392,-0.02819305696997826,-0.11350150398561377,0.10007842605253013,0.030084333717073992,0.005768438241792646,-0.04749969957065277,0.001373006776638867,-0.0703749233841494,0.053940825141369456,-0.08902636500597325,-0.02498547099927873,-0.17143931811669247,-0.07214768640799121,-0.023922965476236173,0.09133456413396872,0.011234850640715046,0.04930870177974388,-0.042924041745603284,0.12878007510595763,0.003674272394559912"
O00305,"-0.33473512708184533,-0.36119787505135,0.30224939124383593,-0.35780201284382007,-0.32951845818599207,0.30230275831407666,-0.33230847195064234,0.3162143186308424,0.3451433533975349,-0.33201395309496495,0.3242775425268273,-0.3196013782451695,0.33687812930856886,0.32483161054382403,0.34231317337240447,0.32758524379952775,-0.3475805055007698,0.36122770713068153,-0.37045463957505226,-0.327803712173529,0.32540826384672594,-0.3184912814873721,-0.34518610610912037,-0.3600499402712519,-0.3484457375499615,0.3262954833939991,-0.3590826774061938,-0.3354959421556069,0.3452238321118711,-0.3492167707184362,0.3516469691914628,0.33376149539703004,0.32971771637221114,0.37030128224877845,-0.3164545916138548,0.3045094955980273,-0.3351335551402277,-0.3337601481703811,0.3478095839663737,-0.3703444940305181,-0.3647288107368035,0.3495331253200603,0.34860832272131276,-0.34279178490738876,-0.35077261180996866,0.3586417693754231,0.32142679936483814,-0.37007594762217133,-0.3252801901647336,0.3303810687711261,-0.35357570999772814,-0.41749678816587243,-0.346348469819673,0.3546295243116587,0.3321196680286325,0.3424184276624201,0.30696338236923365,0.3664279895354354,-0.343944172263848,-0.36424196299895517,-0.3639175914815728,0.3377564772716809,-0.3366230140306536,-0.3318585298053999"
O00329,"-0.3391102629468815,-0.3535251744504354,0.33565291439002887,-0.3554335575649693,-0.3425411447113833,0.3263827745302556,-0.3480778382653523,0.35111647581097694,0.3672233789543127,-0.343666269195113,0.3705118127523491,-0.33479397516320075,0.34541644728134957,0.3587201947554178,0.36357293527413553,0.32990118002723123,-0.36658895763612454,0.3755244160740248,-0.3343867062970863,-0.3192249800661971,0.3399261776452954,-0.38385120911299764,-0.36088899851416867,-0.3710277180065059,-0.36827327710191843,0.3279360547548646,-0.4024905254234266,-0.3379715166662821,0.36297183164458374,-0.3527348801554617,0.3605308902096518,0.36101047034763345,0.3319311209711173,0.36234492099628224,-0.332771304727596,0.3110782012699792,-0.36924072503873406,-0.3451294033461973,0.36901535453092005,-0.357410673608407,-0.36261527421088524,0.3492542317651416,0.3598811975625098,-0.3735164385245068,-0.37263054745186086,0.35457590845616455,0.32024971779734795,-0.3823268429151328,-0.34065139792313703,0.3343362547217942,-0.37323802898131303,-0.37226737870064497,-0.35689678259992386,0.3622280151841108,0.34983033821680365,0.35101949681844696,0.3289151295287968,0.3741183266475045,-0.3549762989590563,-0.3790483284108522,-0.3550179450809851,0.3679224981613119,-0.36605109563061394,-0.3431619672057954"
O00338,"-0.3702043661408752,-0.3659312294312305,0.32366384260786185,-0.3805238906894634,-0.3649756578876495,0.2971451582264718,-0.3284876209535189,0.34758816611875915,0.3431097198607342,-0.3399090916531967,0.3227449993767466,-0.357989714165919,0.3250168178108682,0.34378295993233887,0.3518185411316656,0.3492305404489922,-0.3487581935936626,0.3753492118226334,-0.29135636477578536,-0.330749981800469,0.3555689253254998,-0.32582006920468987,-0.3740335251371845,-0.3638157234547434,-0.3631816930529464,0.33952885486999973,-0.30790299551958905,-0.26190411793712415,0.3698281053019475,-0.37263224478998025,0.35394187855904585,0.31841458152664565,0.3232104460050165,0.38393703222452114,-0.31027069121273604,0.3327310516028482,-0.3492709047052433,-0.3648744822705543,0.35415985877768763,-0.3516591389202402,-0.3680258239133922,0.34810027525915477,0.3668050935066587,-0.33861024162968645,-0.3485095831343804,0.3703206048354718,0.34182243155202235,-0.35025269115427793,-0.3700184410187345,0.3284532072684596,-0.322987034287117,-0.34826808850510327,-0.33046041465204085,0.3597044541524329,0.3316702133399465,0.3525637381678966,0.3273560354428884,0.36912171611423644,-0.35241016289913346,-0.378485232010218,-0.3903202573745735,0.34655100053270455,-0.3564842413788592,-0.34822879296760784"
O00341,"-0.3498442806019422,-0.37939542054841485,0.3285246556194434,-0.38950053658513206,-0.34661315758113986,0.3359503616075818,-0.3480454294987193,0.33804696761135145,0.3586897529014237,-0.3414459884412371,0.3160659978168537,-0.34857273832715713,0.33910777230621203,0.3399115262791572,0.34349400348018555,0.34627017792356407,-0.35818643595455524,0.3678693772718429,-0.33498166334582846,-0.317826613587756,0.34410897813805186,-0.31619828318626075,-0.36233740270761217,-0.38456115402808494,-0.3620218204746315,0.3419181342291633,-0.37298058437572235,-0.33027103530722646,0.3558220012058238,-0.3645869753046601,0.3533091970843668,0.3311521667043436,0.3323935766510255,0.37566425723088215,-0.3243567992947742,0.338011127142673,-0.3516664177678373,-0.35796154565395066,0.3669810805840125,-0.3794889818968045,-0.3829205848197904,0.36108383852543313,0.366261180413955,-0.38007778809623016,-0.38271258707746203,0.3789013923795165,0.36493952840621247,-0.3851808121214275,-0.3606233410561592,0.34311134919014097,-0.38318525780651363,-0.4213074089884604,-0.3600888380231624,0.3613262606443061,0.3459923539450613,0.3524987959424868,0.32364511493881487,0.38221436019586563,-0.3638530455655602,-0.3772353477547457,-0.38421830401019536,0.3523410382263554,-0.37456690720523067,-0.3497543701521231"
O00444,"-0.3213875570066535,-0.34173567894908685,0.30598879849509975,-0.36521232125256703,-0.3568110581689042,0.3079634689128098,-0.34434800249204683,0.3331188828941547,0.3010270064859373,-0.32800306231325427,0.31908150079135306,-0.3475140212689173,0.3335324766951017,0.32566747977552823,0.3225735144453625,0.31268476132676,-0.3486110345240381,0.35615356865198583,-0.38764977393594097,-0.3068369710715659,0.352509053236155,-0.3626708971605728,-0.316393925624552,-0.3448211910405187,-0.32994088428577234,0.3267183548773093,-0.3967149313352001,-0.2941120537219451,0.3275625011084674,-0.3567163917381671,0.3222995673147342,0.3312569396551101,0.32193103800029715,0.32326049839390203,-0.326344701780731,0.29637361686130875,-0.3471675430613023,-0.33397752086923144,0.3753053341562104,-0.3832551366186289,-0.34760587775514185,0.32597416914210003,0.32239108399356786,-0.3651668921455646,-0.3217578274085407,0.35579743089757015,0.3354382839447188,-0.33408346793611526,-0.32367836082272644,0.29636605773174374,-0.35618601271871947,-0.3462491642192453,-0.3425056433435887,0.3182836084148668,0.30781399417558186,0.3455578946365567,0.27681392048153236,0.3526481326215946,-0.32259990881752204,-0.3609294790214801,-0.33748564733249975,0.313419551452197,-0.36332531224279824,-0.35212211083231176"
O00469,"-0.21937565959402155,-0.26332132903660377,0.28406870966363795,-0.2436136756932029,-0.27356011542081676,0.26099876568006175,-0.2422952372934932,0.2707805934872418,0.3412282002317726,-0.229411879486122,0.24144143101634907,-0.22726087381546006,0.3040268073441574,0.224499616292671,0.2535205049871843,0.3037690324418574,-0.3052781498485356,0.29901945026474075,-0.23300192665246217,-0.21191667972162917,0.24769225641526155,-0.10222578814452862,-0.2318481971310437,-0.26129214301357817,-0.3033263600246135,0.25423061663199403,-0.16639580452191863,-0.14032955990049048,0.3087760738215539,-0.22264371688377557,0.23719556976238476,0.23967915568146775,0.2885391790949213,0.27947023069003835,-0.03448645870619154,0.29566348574365103,-0.28376853413258313,-0.24327100914797872,0.35046701725105783,-0.19825417314043348,-0.23050897378686633,0.2817684106795486,0.2970091739401927,-0.3139647835848822,-0.31077518466200726,0.2708597984973804,0.2838070250089713,-0.26056517214770114,-0.30504144730017635,0.2904910989405592,-0.21323869718297264,-0.2618266638257052,-0.24262207781330733,0.2923273393547888,0.26578980352571296,0.24086766567529613,0.2715872140606034,0.29886953983469133,-0.22975174347140362,-0.2409066328474249,-0.20967099589808674,0.3126345356198082,-0.2640116603224106,-0.2176487023027962"
O00519,"-0.3639428979395784,-0.40452066469810016,0.333050298339772,-0.39450090571281593,-0.3596752013307577,0.3439054095741369,-0.36289840833155773,0.345750125707298,0.35450738167707146,-0.3382941034313539,0.33240538013824183,-0.35763042508070725,0.3473162180798058,0.3456350571536131,0.3522858354073077,0.35404330020036456,-0.37701012302165404,0.3763803831089239,-0.3691244386918515,-0.3327586680385376,0.34659906209450536,-0.32176335180129567,-0.3650629561149797,-0.39918063445662877,-0.37302104774783457,0.3438340881085427,-0.4079954728918898,-0.3551149918912631,0.35503330035022085,-0.37072335727110123,0.36058592898257286,0.3348067115228908,0.33727939143974456,0.386158550246374,-0.3580418622647059,0.3394240223373701,-0.36678873991789673,-0.3616676230299659,0.36455978299167485,-0.386560679910071,-0.37504804112263723,0.3628151436231482,0.37289681500402033,-0.37527209079591367,-0.3815396387419167,0.39140852031923484,0.3537762178049147,-0.3848935764159501,-0.356758705978064,0.3482208148287217,-0.3688352905045602,-0.413474869750433,-0.3771434364343503,0.37003704168965834,0.34771584262692756,0.37213397792151814,0.3300182376751108,0.3778424244163097,-0.37085347370789223,-0.3795805658381492,-0.38903943587799356,0.3600672548914422,-0.3856436939750349,-0.35328199951863876"
O00555,"-0.11070927182609,0.18138831762720603,0.07967891608563143,0.20187455148477426,-0.0383379860397072,0.14400912568357746,-0.032697206399458376,0.09533602504241856,0.24056707919790732,-0.13848650457047443,0.31363484219858373,0.2556244055995324,0.1967538165397659,0.20521028682437595,0.2536780713492573,0.07895833819290378,-0.012373277864512143,0.05635786946894786,-0.06666564221403799,-0.2984770126928933,0.0896950917827191,0.029506292502416594,0.09274944397320299,0.030207578828400007,-0.13041869209878115,0.13604330226675268,0.07918167641788676,-0.3121919922885822,0.1638057196604667,0.08540675194528127,0.24319152134616476,0.2847041987902674,0.19705178900679732,0.22594243566311878,-0.11377033036423992,0.05750345923469908,-0.003012702111803329,-0.0057512332784012115,-0.012969538648540052,-0.07466230460163058,-0.05112303127565424,0.14945726298762027,0.16744497476232112,0.1639295931538217,-0.042241157214487644,0.08265359410781419,-0.08058663844151535,-0.12579866927519895,-0.013109067106998397,0.20730829520406974,-0.07473195604760426,-0.06855295955049405,0.08207754365497981,0.21481942648976335,0.21989678575987104,0.19100431371041304,0.17506484997074925,0.026751533627097448,0.017974110961051337,0.02860541784432362,0.0723838985873456,0.05160647667461081,0.196766593621481,-0.1892644060240356"
O00750,"-0.07310409038811869,-0.09721190372160861,0.09637360956097542,-0.06787626273478425,-0.1073837348013684,0.08754956696447379,-0.12191525414495558,0.09643355996437017,0.18893584849432538,-0.12428109600208938,0.15084732424696953,-0.045724455749578466,0.15152146675457143,0.13707251760740724,0.16790939448168557,0.047833300503953805,-0.06564450489497087,0.2264029020443385,-0.07276553300240976,-0.09331940724539994,0.13306029112266132,-0.31675407487463586,-0.08547206105675619,-0.08047280149034342,-0.17517941252590202,0.08538795038279318,-0.1695808350955742,-0.04649773535688685,0.18087495937102593,-0.10903508576832455,0.14418636912022295,0.13815095159810356,0.07736794278841698,0.1259724089009264,-0.02517632367694624,0.04436920109884203,-0.08798697957272464,-0.08684971486562168,0.22144202771596552,-0.06246428436828144,-0.18411215330393108,0.08399753663266354,0.13435408470555743,-0.1671272745946181,-0.06977085990704276,0.09912148039024224,0.007444429047299976,-0.14534018887992203,-0.13805617802844647,0.06066208176971877,-0.11320103212936057,-0.09462839515323887,-0.1442825719465404,0.12704456415956777,0.06839259888506748,0.08482852525304581,0.1214138381838949,0.11843545238276731,-0.09990150881018742,-0.11900496715178949,-0.09493234068667619,0.15559231176554725,-0.1637971146787617,-0.08436016511126887"
O00763,"-0.3648739540634748,-0.40130269986225686,0.33561857110575544,-0.40818366556793356,-0.37083622497092317,0.3341256987578629,-0.37317819843029665,0.35880247068777654,0.35331762881444845,-0.3604404556545465,0.34221225574042685,-0.3872655873495069,0.35713077173274416,0.34765145219236865,0.3436204316798317,0.356297478722344,-0.390515544236529,0.3772149449636924,-0.4119651771798349,-0.32413073106290907,0.3567950504179452,-0.35150479693890224,-0.37677681995613765,-0.3996597700617774,-0.37592569347578175,0.3538948662286703,-0.39430290381675537,-0.40208251011614643,0.3591983243898704,-0.3778601647665737,0.3602619812603581,0.3534300816025991,0.34543612060781004,0.37704112951425234,-0.39112087461688533,0.3604065866360813,-0.3802769080638067,-0.3721392741598351,0.390889717169523,-0.39235193705186705,-0.3816710272438579,0.3710471469712332,0.37094704037509846,-0.38827241286224734,-0.39463319349106285,0.38845400507607003,0.37096822918702155,-0.4017691381870163,-0.36039824065219866,0.34969231443748766,-0.38705956238348604,-0.42907756573450906,-0.36097479858944503,0.36427890677118263,0.360669624494552,0.37178442018159635,0.3290808612177816,0.39716272603541447,-0.3838906924680519,-0.3845210363572431,-0.3933577113391351,0.39465006609983305,-0.3940475200991906,-0.37247640200639553"
